Listing_price,Sigma_estimate,Sold_price,Tax,Maintenance,Rental_dom,Rental_estimate,Rental_yield
669000.0,712187.0,661000.0,2417.0,542.0,20.0,2683.0,3.02
688000.0,698847.0,642000.0,2663.0,423.0,20.0,2190.0,2.44
699000.0,702356.0,780000.0,2872.0,635.0,22.0,2479.0,2.48
599000.0,626813.0,580000.0,2326.0,484.0,20.0,2204.0,2.69
699000.0,711401.0,685000.0,2819.0,621.0,23.0,2304.0,2.19
559000.0,575976.0,552000.0,1373.0,838.0,16.0,2300.0,2.59
649900.0,644464.0,618000.0,2033.0,274.0,23.0,1925.0,2.53
669900.0,688765.0,643000.0,2243.0,395.0,20.0,1950.0,2.19
628000.0,636073.0,619500.0,2081.0,595.0,14.0,2294.0,2.71
699000.0,714067.0,660000.0,2860.0,413.0,20.0,2225.0,2.44
625000.0,624263.0,595000.0,2120.0,291.0,19.0,1875.0,2.52
699000.0,705016.0,740000.0,2513.0,439.0,8.0,3366.0,4.5
569000.0,590600.0,555000.0,1739.0,295.0,12.0,2353.0,3.73
588000.0,619287.0,628000.0,2309.0,719.0,22.0,2315.0,2.45
649000.0,650755.0,649000.0,2495.0,500.0,17.0,2164.0,2.5
699000.0,714415.0,690000.0,2869.0,586.0,20.0,2804.0,3.06
700000.0,749280.0,700000.0,2806.0,1025.0,11.0,2628.0,2.06
568000.0,600307.0,540000.0,1708.0,375.0,11.0,2634.0,4.07
639000.0,651368.0,580000.0,2501.0,472.0,20.0,1942.0,2.13
569000.0,575987.0,547000.0,2237.0,506.0,11.0,2332.0,3.27
615000.0,620401.0,610000.0,2021.0,490.0,16.0,2208.0,2.81
599000.0,656632.0,580000.0,1823.0,523.0,19.0,2000.0,2.23
649000.0,702773.0,647500.0,2855.0,1181.0,28.0,2321.0,1.23
615000.0,609830.0,585000.0,2051.0,403.0,16.0,2193.0,2.99
689000.0,709453.0,730000.0,2308.0,600.0,17.0,2514.0,2.71
619900.0,645288.0,553000.0,2333.0,792.0,22.0,1877.0,1.44
594900.0,634898.0,595000.0,2267.0,713.0,14.0,2382.0,2.62
659000.0,697587.0,665000.0,2573.0,565.0,14.0,2200.0,2.3
579000.0,583053.0,635000.0,2327.0,399.0,20.0,2367.0,3.38
599900.0,652487.0,565000.0,1901.0,476.0,17.0,2256.0,2.79
599000.0,618536.0,585000.0,2021.0,445.0,20.0,1800.0,2.11
599000.0,619939.0,589000.0,2260.0,577.0,15.0,1978.0,2.19
599000.0,599522.0,585000.0,2069.0,596.0,22.0,2130.0,2.46
649900.0,692307.0,639000.0,2703.0,716.0,17.0,2503.0,2.5
655000.0,663360.0,620000.0,2579.0,481.0,20.0,2050.0,2.24
590000.0,593188.0,570000.0,2447.0,455.0,20.0,1942.0,2.38
587000.0,565610.0,551000.0,1.0,371.0,15.0,1988.0,3.25
619900.0,672454.0,660000.0,2744.0,518.0,14.0,2600.0,3.13
630000.0,628442.0,582000.0,2524.0,701.0,20.0,1993.0,1.85
629000.0,657730.0,612000.0,2351.0,648.0,20.0,2311.0,2.44
585000.0,579355.0,565000.0,2150.0,613.0,17.0,2000.0,2.31
599000.0,608811.0,565000.0,2423.0,437.0,15.0,2425.0,3.32
689000.0,691353.0,682000.0,2596.0,570.0,14.0,2104.0,2.15
569900.0,585345.0,550000.0,2600.0,337.0,20.0,2017.0,2.77
669800.0,680816.0,665000.0,2376.0,670.0,10.0,2650.0,3.01
699000.0,695517.0,691800.0,2339.0,417.0,23.0,1974.0,2.13
684000.0,638913.0,665000.0,2387.0,840.0,34.0,2616.0,2.5
699000.0,672452.0,667000.0,2309.0,438.0,20.0,1845.0,1.98
595000.0,653175.0,580000.0,1943.0,379.0,12.0,2121.0,2.77
598888.0,620420.0,583500.0,1721.0,690.0,14.0,2601.0,3.22
634800.0,625777.0,545000.0,1973.0,396.0,20.0,2200.0,2.91
599900.0,607356.0,607000.0,2171.0,349.0,22.0,1912.0,2.5
654900.0,648646.0,630000.0,2158.0,404.0,15.0,2050.0,2.55
698000.0,687276.0,682800.0,2741.0,370.0,22.0,1993.0,2.22
619000.0,661400.0,600000.0,2676.0,376.0,23.0,2135.0,2.54
599900.0,641050.0,612000.0,2119.0,450.0,20.0,1983.0,2.33
599990.0,608835.0,575000.0,2243.0,283.0,22.0,1925.0,2.64
658800.0,724410.0,651500.0,2237.0,624.0,14.0,2500.0,2.64
599000.0,628762.0,625000.0,2621.0,547.0,22.0,2459.0,2.95
609900.0,652134.0,608000.0,2519.0,595.0,14.0,2109.0,2.25
640000.0,636191.0,622000.0,2321.0,477.0,22.0,1922.0,2.14
699000.0,723231.0,715000.0,2759.0,385.0,24.0,2467.0,2.8
578000.0,602127.0,565000.0,1973.0,447.0,15.0,2591.0,3.73
628000.0,654271.0,625000.0,2147.0,553.0,14.0,1988.0,2.16
651900.0,648146.0,670000.0,2807.0,370.0,28.0,2500.0,3.15
550000.0,570542.0,550000.0,1856.0,338.0,20.0,1800.0,2.54
569000.0,597369.0,560000.0,2183.0,526.0,7.0,1948.0,2.42
599900.0,599542.0,565000.0,2039.0,414.0,20.0,1907.0,2.44
729000.0,671631.0,648000.0,2849.0,585.0,20.0,2400.0,2.58
595000.0,610680.0,665000.0,2600.0,598.0,17.0,2010.0,2.16
699800.0,707897.0,710000.0,2423.0,775.0,14.0,2484.0,2.39
699000.0,701871.0,765000.0,2981.0,464.0,20.0,2540.0,2.88
599000.0,616574.0,632000.0,2415.0,364.0,22.0,2015.0,2.58
589000.0,602218.0,572000.0,1962.0,485.0,14.0,1971.0,2.48
589000.0,606301.0,560000.0,2189.0,421.0,20.0,2270.0,3.05
589000.0,600863.0,610000.0,2129.0,477.0,13.0,2183.0,2.9
679900.0,716796.0,665000.0,2891.0,539.0,20.0,2404.0,2.5
598000.0,634509.0,572000.0,2027.0,834.0,23.0,2074.0,1.78
619000.0,597119.0,619000.0,2177.0,485.0,13.0,2200.0,2.92
550000.0,568266.0,569000.0,1961.0,462.0,14.0,2208.0,3.16
695000.0,694427.0,630000.0,2339.0,528.0,18.0,2168.0,2.31
629900.0,649296.0,644900.0,2345.0,588.0,16.0,2500.0,2.97
585000.0,592450.0,555000.0,2063.0,398.0,20.0,1800.0,2.29
671900.0,676482.0,596800.0,2147.0,622.0,20.0,2325.0,2.47
615000.0,650904.0,640000.0,2393.0,546.0,14.0,1991.0,2.15
699000.0,785193.0,705000.0,2640.0,842.0,14.0,3300.0,3.22
599900.0,664021.0,599000.0,2065.0,483.0,8.0,2200.0,2.7
649000.0,661153.0,665000.0,2488.0,482.0,14.0,2319.0,2.79
655000.0,687481.0,645000.0,2304.0,415.0,14.0,2113.0,2.49
599000.0,620832.0,615000.0,2159.0,419.0,20.0,2200.0,2.86
599900.0,619939.0,626000.0,2321.0,720.0,27.0,2390.0,2.51
695000.0,693886.0,665000.0,2387.0,550.0,14.0,2096.0,2.19
569990.0,602063.0,556000.0,2720.0,438.0,19.0,2550.0,3.49
599900.0,589834.0,565000.0,2111.0,560.0,17.0,2041.0,2.46
669000.0,700734.0,640000.0,2525.0,536.0,22.0,2430.0,2.63
589000.0,596361.0,565000.0,2069.0,576.0,14.0,2217.0,2.78
649888.0,657438.0,625000.0,2231.0,482.0,22.0,2300.0,2.72
699999.0,731250.0,688000.0,3529.0,429.0,20.0,2300.0,2.38
599900.0,660357.0,595000.0,2375.0,582.0,14.0,2712.0,3.32
550000.0,566724.0,523000.0,2180.0,428.0,27.0,1825.0,2.28
590000.0,610478.0,568000.0,1922.0,270.0,20.0,1875.0,2.64
649000.0,684122.0,812500.0,2736.0,323.0,14.0,2028.0,2.45
599990.0,596926.0,585000.0,1769.0,378.0,19.0,2242.0,3.21
699900.0,739842.0,720000.0,2728.0,633.0,14.0,2550.0,2.58
599000.0,819690.0,641000.0,2345.0,472.0,14.0,2607.0,2.69
669000.0,668698.0,700000.0,2444.0,352.0,22.0,1940.0,2.27
695000.0,709107.0,695000.0,2267.0,460.0,20.0,2483.0,2.87
684900.0,693529.0,677000.0,2255.0,625.0,14.0,2464.0,2.69
639000.0,641919.0,608800.0,2387.0,396.0,21.0,2000.0,2.41
599900.0,600377.0,553000.0,1949.0,570.0,10.0,2558.0,3.51
639900.0,640053.0,560000.0,2363.0,524.0,16.0,2023.0,2.27
599000.0,618727.0,640000.0,2609.0,567.0,20.0,2450.0,2.97
736000.0,728972.0,673000.0,2522.0,423.0,16.0,2116.0,2.29
579900.0,604075.0,544000.0,1949.0,345.0,18.0,1814.0,2.42
649900.0,645273.0,625000.0,2183.0,500.0,14.0,1964.0,2.24
619900.0,620416.0,620000.0,2699.0,474.0,22.0,2173.0,2.59
699900.0,738487.0,720000.0,2279.0,447.0,13.0,2310.0,2.58
599000.0,619455.0,600000.0,2020.0,369.0,13.0,2618.0,3.85
