Listing_num,Address,City,House_type,Price,Estimated_price,Estimated_on,Bedroom_num,Washroom_num,Parking_num,Tax,Maintenance,Building_age,Size,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Property_style,Exposure,Description
C4898248,Unit 405 - 3018 Yonge St,Lawrence Park South - Toronto,Condo Apt,969000.0,1018588.0,2020-09-04,2,2,1, 4833,761.0,"water,heat",0-5,2020-09-03,2020-09-04,3100.0,2.15%,Yonge St/Lawrence Ave,Apartment,E,"Sought After Yonge/Lawrence Corridor Boutique Building Built By Lanterra With High End Finishes. Bright Open Concept, Large Balcony Overlooking The Park. Hardwood Thru Out, Steps From Yonge-Lawrence Subway Station, Steps To Ttc, Grocery, Library, Shops, Great Restaurants, Beautiful Walking Trails, And Cafes.
High End Paneled And Stainless Steel Appliances, Liebherr Fridge/Freezer, Miele: Cook Top, B/I Oven Fan, B/I Dishwasher, Genius B/I Microwave, Washer/Dryer, Wood Floors,1 Parking. All Light Fixtures, Window Coverings"
C4781692,Unit 205 - 3018 Yonge St,Lawrence Park South - Toronto,Condo Apt,1049900.0,1117760.0,2020-06-16,2,2,3, 4818,905.0,"water,heat",-,2020-06-04,2020-06-16,3471.0,2.14%,Yonge/Lawrence,Apartment,E,"Urban Luxury In Lawrence Park! Rarely Avail. Brookdale Model 945 Sq Ft. With 3 Owned Parking Spots To Rent Out Or Use, A Locker + A Self Contained Storage Room, This Unit Has It All. No Detail Overlooked, And No Expense Spared, This Apt Shines! Electric Fireplace In Living Room, Hardwood Thru Out, Made To Measure Flooring On Balcony, California Closets, Floor Safe, Privacy Film On The Glass Doors Of 2nd Bed., Steps From Ttc, Incredible Shopping, Restaurants.
(3rd Parking Spot Owned Level D-54, And Storage Locker Room Owned Level E-15) High End Panelled & Stainless Steel Appliances, Custom Light Fixtures, Washer And Dryer,Custom Window Coverings(Blackout In Master) Pet Spa! Steam Room!"
C4901909,Unit 215 - 2727 Yonge St,Lawrence Park South - Toronto,Condo Apt,1389000.0,1414798.0,2020-09-11,2,2,1, 4714,1361.0,water,-,2020-09-08,2020-09-11,3449.0,1.34%,Yonge St/ Blythwood,Apartment,E,"This Beautiful Suite Is Located On The Quiet ""East"" Side Of The Exclusive ""Residences Of Lawrence Park""! Beautiful Hardwood Flooring, Renovated Kitchen With Loads Of Storage. Open Concept Living/Dining Room With Sliding Glass Doors To A Lovely, Large Balcony. Wonderful For Entertaining. One Parking Spot And 2 Lockers. Bring Your Most Discerning Buyers! Approximately 1500 Sq Ft. Situated Among Yonge St Shops, Restaurants, Ttc At Doorstep.
Fridge, Stove-Top, B/I Oven, Dishwasher, Microwave, Washer/Dryer (Stacked), Elf's, Window Coverings In 2nd Bedroom, California Shutters, Tv Over Fireplace. * Fireplace Is Electric."
C4855205,Unit 101 - 2727 Yonge St,Lawrence Park South - Toronto,Condo Apt,1898000.0,1859153.0,2020-08-24,2,2,3, 5931,1778.0,water,-,2020-08-04,2020-08-24,3733.0,0.86%,Yonge St & Lawrence Ave,Apartment,E,"Stunning Newly Renovated 1966 Sq Ft Suite With 2 Bedrooms & Den In Demand Lawrence Park Neighborhood. Beautifully Landscaped Private 600 Sq Ft Garden Terrace. Ideal For A Small Dog, Or Someone Who Loves To Garden. Large Principle Rooms, Built-In Throughout, Hardwood Flr, High Quality Upgrades. Reno Kitchen Comes W/ High End S/S Appliances, Beautiful Quartz Counter Top W/ Blanco Double Sinks And Lots Of Cupboards.
Ss Bosch Oven, Microwave, Miele Cooktop, Fan Hood, Panelled Sub Zero Fridge, B/I Miele Dishwasher, Miele Stacked Washer/Dryer. All Elf's & Window Coverings. 55Inch Tv In Den W/ Sound Bar. Laundry Rm W/ Shelving. 3 Prking & 2 Lckrs Enclosed!"
C4901660,Unit Ph 12 - 2727 Yonge St,Lawrence Park South - Toronto,Condo Apt,2895000.0,2693660.0,2020-09-11,3,2,3, 6621,1887.0,water,-,2020-09-08,2020-09-11,3924.0,0.6%,Yonge St & Blythwood,Apartment,NW,"""Penthouse Reimagined"" In A Prime Boutique Building On Vibrant Yonge St In Lawrence Park! This Rarely Available Corner Penthouse Suite Has It All W/3 Exposures, 2,074 Sf Of Interior Space, Grand Principal Rooms, 3 Bdrms, Office, 2 Skylights & 2 Terraces W/Breathtaking Views Incl One W/900 Sf On The Coveted Quiet Side Of Building. A+ Layout & Location Is A Unique Opportunity To Create Your Perfect Home. Virtual Reno/Staging Photos Show Endless Possibilities!
Walk To Restaurants & Shops! Potential To Add A 2-Pc. ""Other"" Is 900Sf Terrace On Quiet Side Of ""Residences Of Lawrence Park"". 3 Pkg & Double Locker. Low Maint/Taxes Compared To Similar Size Condos. Virtual Staging/Renovation In Some Photos"
C4894519,Unit 3211 - 20 Richardson St,Waterfront Communities C8 - Toronto,Condo Apt,650000.0,647760.0,2020-09-02,1+1,1,0,,361.0,"water,heat",New,2020-09-01,2020-09-02,2224.0,3.25%,Lower Jarvis & Queens Quay,Apartment,E,"Assignment Opportunity With Great Value! This 1 Bedroom + Den East-Facing Unit At Daniel's Lighthouse Condo Comes With A Locker And Can Be Yours To Move Into On October 13th. No Interim Occupancy Which Means You Start Paying Your Mortgage Immediately! Bright Unit With Modern Finishes, An Amazing Location With Lots More Growth To Come. The Best Of Waterfront Living Awaits You Here!
Included: Brand New Appliances (Fridge, Stove, Microwave & Dishwasher),Front Load Washer & Dryer. Stellar Building Amenities Include 24Hr Concierge, Theatre, Arts & Crafts Studio, Fitness Centre, Garden Prep Studio, Tennis & Basket Courts."
C4893519,Unit 3507 - 20 Richardson St,Waterfront Communities C8 - Toronto,Condo Apt,860000.0,838427.0,2020-09-01,2,2,0,,,"water,heat",New,2020-09-01,2020-09-01,2380.0,3.24%,Yonge / Queens Quay,Apartment,N,"Fantastic Opportunity To Live In A New Master Planned Community In The Midst Of Toronto's Waterfront. 9 Ft. Ceiling Heights In Principal Rooms. Contemporary Kitchen, Custom Designed By Cecconi Simone, With Integrated, Under-Cabinet Lighting And Soft-Close Hardware. Plus Extra $10,000 Upgrades. Steps Away From Sugar Beach, Loblaws, Lcbo, Restaurants, Ttc, And Martin Goodman Bike Trail. A Walk Or Drive To St. Lawrence Market And The Distillery District.
24"" S/S Fridge, S/S Stove, S/S Wd, Washer, Dryer. 24Hr Concierge, A Fitness Centre, Theatre, Arts & Crafts Studio, Garden Prep Studio, Tennis/Basketball Court & Gardening Plots."
C4894841,Unit 608 - 1 Scott St,Waterfront Communities C8 - Toronto,Condo Apt,719000.0,480967.0,2020-09-04,1+1,1,1, 2856,473.0,"water,heat",-,2020-09-02,2020-09-04,2750.0,4.76%,Front & Esplanade,Apartment,N,"Beam Me Up,Scotty! Coming In Hot To One Of The Most Sought After & Historical Neighbourhoods In Toronto Is This 1 Bdrm + Den In The St. Lawrence Market W/ Over 703Sqft Of Practical Space. Floor-To-Ceiling Windows, Soaring 9Ft Ceilings & Private Balcony,This Is The One You've Been Waiting Light Years For. Supremely Functional Floor Plan Includes A Sizeable Master & An Open-Concept Living Space. Modern Kitchen Features Granite Countertops & Integrated S/S Appl.
All S/S Kitchen Appliances, All Elfs (Except In Master), Washer & Dryer (2017) & Custom Floor To Ceiling Wardrobe Unit In Den, New Ac/Heat Pump & Thermostat. Exclusions: Elf In Master Bdrm & Chrome And Glass Shelf In Living Room."
C4907376,Unit 812 - 60 Tannery Rd,Waterfront Communities C8 - Toronto,Condo Apt,459000.0,464693.0,2020-09-11,1,1,0,,334.0,heat,-,2020-09-11,2020-09-11,1765.0,3.48%,Cherry And Front,Apartment,W,"Stylish Urban Hip Low-Rise Condo. Beautiful Brand New 1 Bedroom Condo Is Designer Inspired. Amazing Open Floor Plan That With 9' High Ceilings, Modern Kitchen With S/S Integrated Appliances, Caesar Stone Counters, And A Large Private Balcony. Amazing Opportunity To Own! Live In One Of The Best Up And Coming Neighborhood's In Toronto. The Canary District Is Located Between The Distillery District And The Future ""East Harbour"" West Donlands. Chck Out The Video
S/S Integrated Appliances-Fridge, Ceramic Top Stove, Range Hood, B/I Dishwasher, B/I Microwave & Washer/Dryer. All Light Fixtures, Blinds, Storage Unit-Hall And Tv & Wall Mount."
C4856608,(Address not available),Waterfront Communities C8 - Toronto,Condo Apt,529000.0,552530.0,2020-08-20,1+1,1,0, 1675,554.0,"water,hydro,heat",-,2020-08-04,2020-08-19,2300.0,3.24%,Sherbourne / Front,Apartment,W,"Well Appointed 1 Bedroom Plus Den In The Heart Of Downtown. Spacious Galley Kitchen, Lots Of Cupboards And A Breakfast Bar. Open Concept Living/ Dining Areas And The Flexibility Of A Den For A Home Office. Large Master Bedroom With Walk In Closet , Four Piece Bath And Laundry...Minutes To Restaurants, St. Lawrence Market, Distillery District, Ttc, Union Station, And All The Night Life Downtown Can Afford.
Existing Fridge, Stove, Washer, Dryer"
