Listing_num,Address,Community,House_type,Listing_price,Sigma_estimate,Estimated_on,Sold_price,Bedroom,Washroom,Parking,Tax,Property_type,Maintenance,Building_age,Size,Basement,Utility_incl,Date_on_market,Rental_dom,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Amenities,Exposure,Municipality,Description
C4942464,Unit 302 - 80 Charles St E,Church-Yonge Corridor - Toronto,Condo Apt,"$ 449,900","$477,902",2020-10-11,,1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,685","Condo Apt, Apartment",$472/month,-,500-599 feet²,None,"water,hydro,heat",6 days,23 day(s),2020-10-06,2020-10-10,"$1,847",2.8%,Charles And Church,"Exercise Room, Rooftop Deck/Garden, Sauna, Security System",N,Toronto,Why Rent When You Can Own! Charming Building With A New York Feel. Spacious Well Maintained 1 Bedroom Unit With Ensuite Laundry. Master Bedroom Has A Walk-In Closet And Large Window. Good Size Living/Dining Area With 2 Large Windows.Minutes Walk To Yorkville And Trendy Shops On Bloor And Yonge St. Restaurants And Night Life Nearby. Walking Distance To University Of Toronto And Ryerson University. Also Minutes To Public Transportation/Subway.
C4886507,Unit 907 - 30 Hayden St,Church-Yonge Corridor - Toronto,Condo Apt,"$ 549,000","$572,339",2020-09-15,,1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,033","Condo Apt, Apartment",$605/month,-,500-599 feet²,None,"water,heat",47 days,22 day(s),2020-08-26,2020-09-15,"$2,289",2.88%,Yonge & Bloor,"Exercise Room, Recreation Room",N,Toronto,"One Parking Space Included. New Appliances! Brand New Floor! Quiet, Bright & Spacious Layout Approx. 595 Sf. Open Kitchen With Windows. Super Location!! Steps To Yonge & Bloor Subway Station (Line1 Yonge Line And Line 2 Bloor Line) Extreme Convenience With Boutique Shops And Famous Restaurants Are Steps Away. Investment Property With A New Tenant."
C4912159,Unit 2513 - 210 Victoria St,Church-Yonge Corridor - Toronto,Condo Apt,"$ 618,000","$650,962",2020-09-16,,1 Bedrooms,2 Bathrooms,0 Garage,"$ 2,152","Condo Apt, Apartment",$465/month,-,600-699 feet²,None,"water,hydro,heat",27 days,22 day(s),2020-09-15,2020-09-16,"$2,450",3.05%,Yonge/Shuter/Queen/Dundas,,N,Toronto,"Welcome To The Highly Sought Address In The Heart Of Downtown. Perfect For All Investors And First Time Buyers. This Luxury Spacious Home Has Amazing Open Concept Layout, With Stunning City Views Making It A Great Fit For Both Living And Hosting.Building Has Good Track Record Of Managing, Renovating And Keeping All-Inclusive Maintenance Fee Increases To A Minimum. Enjoy The Life Here Or Take Advantage Of Income Potential."
C4936684,Unit 1910 - 77 Shuter St E,Church-Yonge Corridor - Toronto,Condo Apt,"$ 850,000","$852,534",2020-10-09,,2 Bedrooms,2 Bathrooms,1 Garage,$ -,"Condo Apt, Apartment",$360/month,New,600-699 feet²,None,"water,heat",11 days,23 day(s),2020-10-01,2020-10-09,"$2,627",2.95%,Shuter/Mutual,"Concierge, Games Room, Gym, Outdoor Pool, Party/Meeting Room, Recreation Room",Ne,Toronto,"88 North Condos! In The Heart Of Downtown Toronto.Never Lived In, Will Be An Exciting Urban Neighbourhood With An Entire Block Filled With Residential Homes, A Park Designed By Claude Cormier, Unique Eclectic Shopping, Innovative Fine And Casual Dining, A Boutique Hotel, And A Fitness Club That Will Rival The Best Clubs In Toronto...Steps To The Subway, Uoft, Ryerson U, George Brown College, St Micheals Hospital, Financial District..."
C4860456,Unit 1011 - 45 Charles St E,Church-Yonge Corridor - Toronto,Condo Apt,"$ 705,000","$711,145",2020-08-28,,1+1 Bedrooms,2 Bathrooms,0 Garage,"$ 2,603","Condo Apt, Apartment",$352/month,-,500-599 feet²,None,"water,heat",66 days,22 day(s),2020-08-07,2020-08-27,"$2,483",2.97%,Yonge/Bloor,"Concierge, Exercise Room, Guest Suites, Security Guard",E,Toronto,"Award Winning Luxury Upscale Chaz Yorkville Condo! In The Heart Of Downtown. 9Ft Ceiling, Sun-Kissing Unit W/Se View! Best Floor Plan Of The Building; Spacious One Bedroom With Large Walk-In Closet+Study Room. 2 Washrooms *Amazing 5 Stars Amenities: Chaz Club, Computer Game Room, Bbq Terr., Fitness, Guest Suite, Zip Car.. 2Mins Walk To Yonge/Bloor Subway, Close To U Of T & Ryerson. Mins. To Restaurants, Bar, Cafe, Library & Upscale Shopping. See & Buy!"
C4866005,Unit 1614 - 197 Yonge St,Church-Yonge Corridor - Toronto,Condo Apt,"$ 705,000","$704,017",2020-09-10,,1+1 Bedrooms,1 Bathrooms,0 Garage,$ -,"Condo Apt, Apartment",$417/month,-,600-699 feet²,None,,62 days,22 day(s),2020-08-11,2020-09-09,"$2,260",2.91%,Yonge St/Queen St,"Concierge, Exercise Room, Guest Suites, Party/Meeting Room, Security Guard",N,Toronto,"Just Move In & Enjoy! 1 Bedroom + Den At The Renowned Massey Tower! 610 Sq Ft! North View. Next To Queen Subway Station, Eaton Centre, Ryerson University & St Michael Hospital! Walking Distance To University Of Toronto, Financial & Entertainment District. Minutes To Every Amenity In The Area!"
C4903955,Unit 807 - 85 Wood St,Church-Yonge Corridor - Toronto,Condo Apt,"$ 630,000","$626,726",2020-09-09,,1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,339","Condo Apt, Apartment",$354/month,0-5,500-599 feet²,None,heat,34 days,22 day(s),2020-09-08,2020-10-09,"$2,125",2.77%,Church/Carlton,,W,Toronto,"**Large 1+ Den Unit In Luxury Axis Condo** Den With Sliding Doors Can Be Used As A Second Bedroom! 1 Year Old Luxury Condo With Modern Kitchen, Practical Layout, Large Balcony, 9 Ft Ceiling. Lots Of Amenities! Well Equipped Gym, Concierge, Party Room, Business Centre With Wifi, Media Room, Guest Suites, Rooftop Deck Etc. Unbeatable Location, Steps To Ttc, Ryerson, Loblaws, Maple Leaf Garden, Eaton Centre, U Of T"
C4896395,Unit 702 - 365 Church St,Church-Yonge Corridor - Toronto,Condo Apt,"$ 549,000","$564,524",2020-09-12,,1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,841","Condo Apt, Apartment",$359/month,0-5,500-599 feet²,None,"water,heat",41 days,22 day(s),2020-09-01,2020-09-11,"$1,933",2.77%,Church/Carlton,"Concierge, Gym, Media Room, Party/Meeting Room, Visitor Parking",W,Toronto,"Stunning 1 Bedroom Condo By Menkes. Bright & Functional Layout With Balcony And Great City View. Modern Kitchen With Stainless Steels Appliances. Floor-To-Ceiling Windows, Laminate Floor Thru-Out. Steps To Ryerson U, Loblaws, Eaton Center, Yonge-Dundas Sq, Subway, Public Transit, Hospitals, Uoft, Etc. 24/7 Conceige. Great Amenities With Gym, Yoga Room, Party Room, Bbq Terrace."
C4938494,Unit 208 - 70 Alexander St,Church-Yonge Corridor - Toronto,Condo Apt,"$ 499,900","$512,963",2020-10-09,,1+1 Bedrooms,1 Bathrooms,1 Garage,"$ 1,775","Condo Apt, Apartment",$665/month,16-30,500-599 feet²,None,water,10 days,23 day(s),2020-10-02,2020-10-02,"$2,128",2.76%,Church-Yonge Corridor,"Concierge, Party/Meeting Room, Rooftop Deck/Garden, Security Guard, Security System, Visitor Parking",W,Toronto,**Very Well-Kept Unit**Pleasant View Of Tree-Lined Street**Spacious One Bedroom Plus Study Room**Nice Modern Kitchen Granite Countertop**Marble Lining Bathroom With Granite Vanity Top**Large Window View To Outside**One Underground Parking Included**Ensuite Washer/Dryer**Very Convenience In The Heart Of The Village**Well Maintained Building Complex
C4847928,Unit 305 - 75 Dalhousie St,Church-Yonge Corridor - Toronto,Condo Apt,"$ 729,000","$740,451",2020-07-28,,3 Bedrooms,1 Bathrooms,1 Garage,"$ 2,651","Condo Apt, Apartment",$873/month,-,900-999 feet²,None,"water,hydro,heat",76 days,22 day(s),2020-07-28,2020-07-28,"$3,136",3%,Church/Shuter,"Concierge, Exercise Room, Party/Meeting Room, Rooftop Deck/Garden, Sauna, Visitor Parking",W,Toronto,"The One You Have Been Waiting For! Rarely Available, 3 Bed (Yes 3 Bedroom!) Suite At 'The Boot.' Elevate Your Lifestyle/Real Estate Portfolio W. This Premiere Downtown Location. Minutes To Ryerson, St. Mikes Hospital, Yonge/Queen/Dundas, Ttc/Path System, Financial District, St Lawrence Market, Eaton Centre & More!!! Amazing Layout, Bright & Spacious, Open Concept Kitchen W. Lots Of Storage, West Facing Juliette Balcony, Floor To Ceiling Windows."
