Listing_num,Address,City,House_type,Price,Estimated_price,Estimated_on,Bedroom_num,Washroom_num,Parking_num,Tax,Maintenance,Building_age,Size,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Property_style,Exposure,Description
C4803009,Unit 922 - 388 Richmond St W,Trinity-Bellwoods - Toronto,Condo Apt,"$ 1,049,000","$1,100,360",As of 2020-08-18,2 Bedrooms,2 Bathrooms,1 Garage,"$ 3,592",$796/month,"water,hydro,heat",-,2020-06-22,2020-08-18,"$2,911",1.89%,Richmond And Spadina,2-Storey,N,"District Lofts -Toronto Architecture And Urban Design Award. This Highly Awarded Condo Tower Hosts Incredible Layouts. Located On The 9th And 10th Floor, This 2 Level Condo Has South And North Exposure, 9 Foot Ceilings And Floor To Ceiling Windows. Large Balcony With Beautiful Views Of The City. The Layout Truly Feels Like A Townhouse In The Sky! Two Large Bedrooms, With Split Floor Plan. Parking And Locker Included.
Fridge, Stove, Dishwasher, Microwave, Washer/Dryer, Light Fixtures, Window Coverings."
C4897765,Unit 317 - 993 Queen St,Trinity-Bellwoods - Toronto,Condo Apt,"$ 1,049,000","$974,136","<selenium.webdriver.remote.webelement.WebElement (session=""4d5d97ca28e94346919ea8525b97ed83"", element=""91e61048-af8f-4fc9-a34a-94098aa7ef77"")>",1 Bedrooms,1 Bathrooms,1 Garage,"$ 3,562",$485/month,"water,heat",-,2020-09-03,2020-09-11,"$2,581",2.08%,Queen & Shaw,Loft,N,"Pour Some Sugar On Me! Iconic Candy Factory! Oh Henry! Hope You've Got A Great Dentist. You're Going To Want To Take A Bite Out Of This Sweet Slice Of Toronto Loft Nirvana. 945 Square Feet Of Dancing Room. Sky High 11.5 Ft Douglas Fir Ceilings With Tons Of In Unit Storage (See Crawl Space Under Bedroom Mezzanine). Located At The Centre Of The Universe: Nestled Between Trinity Bellwoods Park And The Ossington Strip. Yes It Includes Parking.
This Is Basically Perfect. Are You Ready Loft Lovers? Yes Or Yes! #doyoutakesugar #onelumportwo"
C4843920,Unit 302 - 183 Dovercourt Rd,Trinity-Bellwoods - Toronto,Condo Apt,"$ 1,399,000","$1,385,388",As of 2020-08-12,2 Bedrooms,2 Bathrooms,1 Garage,"$ 4,456",$1018/month,"water,heat",-,2020-07-24,2020-08-12,"$2,722",1.09%,Queen / Dovercourt,Loft,Se,"Highly Coveted And Rarely Offered! Character-Rich Argyle Lofts Are The Most Sought-After In Queen West Trinity Bellwoods.Enjoy 1500 Sqft South East Corner With Stylish Oversized Picture Windows And 17' Soaring Ceilings.Huge Master Loft With Walk-In Closet And Private Bath. Well Designed Floor Plan Also Features A Proper 2nd Bedroom On Main Floor With Great Access To 2nd Full Bathroom, Loads Of Entertaining Space.Great Opportunity To Own A True ""Hard Loft"".
Ss Refrigerator, Dishwasher, Oven, Exhaust Fan, Washer & Dryer. 1 Parking, 1 Locker,"
E4901529,Unit 13 - 1331 Gerrard St E,Greenwood-Coxwell - Toronto,Condo Apt,"$ 499,900","$475,375",As of 2020-09-10,1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,613",$217/month,water,0-5,2020-09-08,2020-09-10,"$1,808",3.5%,Greenwood/Gerrard,Apartment,S,"Preferred South-Facing Modern 1 Bedroom Suite With Walk-Out Terrace In The East Village Leslieville Boutique Condominiums. Upgraded Modern Finishes Include: Engineered Hardwood Throughout, Kitchen With Quartz Counters & Stainless Steel Blomberg Appliances, Ensuite Bath With A Seamless Glass Shower, And Large South Facing Window With Custom California Shutters. Enjoy All The Sun & Calming Tree-Lined Views From Your Private Terrace!
Incl. Stainless Steel [Fridge, Range, Dishwasher], Stacked Front Load Washer/Dryer. All Elf's. Custom California Shutters. Enercare Furnace & H/W Tank Rental $68/Month."
C4897836,Unit 312 - 25 Malcolm Rd,Leaside - Toronto,Condo Apt,"$ 669,990","$717,956",As of 2020-09-03,2 Bedrooms,2 Bathrooms,0 Garage,"$ 2,505",$542/month,heat,-,2020-09-03,2020-09-03,"$2,590",2.89%,Eglinton & Laird,Apartment,S,"New Luxury Condo Suite In Leaside. The Bright New 2 Bedroom Suite With 9' Ceiling, Master Bdr With Double Closet & Spa-Inspired Ensuite. Full Balcony With Bbq Gas Line Let You Enjoy With Your Family And Friends. Luxury Amenities: Concierge, Gym, Roof Top Terrace, Party Room, Pet Spa & Bike Room. Transit At Your Door, Close To Dvp Highway.
Fridge, Stove, Dishwasher, Washer & Dryer, Microwave, Electric Light Fixtures, Balcony W Gas Line,"
C4905360,Unit 302 - 25 Malcolm Rd,Leaside - Toronto,Condo Apt,"$ 770,000","$791,419",As of 2020-09-10,2+1 Bedrooms,2 Bathrooms,1 Garage,"$ 3,760",$883/month,heat,0-5,2020-09-10,2020-09-10,"$3,100",2.69%,Laird & Millwood,Apartment,E,"This. Is. It! Unique Leaside Boutique Condo Living At Its Best. 1000 Square Feet Of Living Space And Nearly 150 Square Feet Of Balcony. 2 Large Bedrooms, 2 Full Bathrooms, And A Den For The Home Office Or Additional 3rd Bedroom! Split Bedroom Floorplan, High Quality Finishes Including Gas Stove. Well-Maintained Unit And Building Close To Future Eglinton Lrt. Plenty Of Amenities At Your Door: Longos, Lcbo, Starbucks, Restaurants, And Easy Access To Downtown!
Gas Stove, Refrigerator, Dishwasher, Washing Machine, Dryer, All Electric Light Fixtures And Window Coverings, Built-In Shelves, Custom Blinds. Gas Line On The Balcony Perfect For Bbq'ing!"
C4842822,Unit 1408 - 160 Vanderhoof Ave,Leaside - Toronto,Condo Apt,"$ 515,000","$526,565",As of 2020-09-04,1 Bedrooms,1 Bathrooms,1 Garage,"$ 1,545",$383/month,water,0-5,2020-07-23,2020-09-04,"$1,715",2.58%,Eglinton Ave&Leslie/Laird,Apartment,S,"Never Rented, Never Lived-In By Owner, Clear View Of Cn Tower, Stunning Unit In Desirable Leaside Community! 9'Ceiling, 77Sq.Ft Balcony Facing Unobstructed Panoramic Views, Overlooking Downtown City Skyline. Close To Luxury Shops At Don Mills. Steps To Home Depot, Sobeys, Staples, Lcbo, Starbucks, & Restaurants. Walk To Sunnybrook Park And Tails. Steps To Ttc, Eglinton Crosstown Lrt Train Expected To Be Completed In Near Future. Includes 1 Parking & 1 Locker
Builder's New Stacked Washer&Dryer, B/I Dishwasher, Fridge, Stove, Hood Fan, Granite Counter Tops, 487Sq.Ft Suite +77Sq.Ft Balcony. Indoor Swimming Pool, Sauna,Jacuzzi,Gym, Theatre, Party Room, Bbq Terrace, Zen Garden,24Hr Concierge & More"
C4903778,Unit 806 - 160 Vanderhoof Ave,Leaside - Toronto,Condo Apt,"$ 739,900","$750,868",As of 2020-09-11,2 Bedrooms,2 Bathrooms,1 Garage,"$ 2,645",$660/month,0-5,900-999 feet²,2020-09-09,2020-09-10,"$2,467",2.37%,Eglinton Ave & Brentcliffe Rd,Apartment,S,"Stunning Condo W Panoramic Park Views! Beautiful ""Scenic On Eglinton Iii"" Condominiums - Elegant Condo Living In The City. Spacious 2 Bed 2 Bath Unit W Luxury Finishes; California Shutters, Hardwood Flrs, Gorgeous Kitchen W S/S Appliances & Centre Island. Open Concept Living & Dining Rms Filled W Natural Light. Large Balcony O/Looking Nearby Park. Spacious Master Bedroom W 4Pc Ensuite. Large Closet, Murphy Bed & Barn Door In 2nd Bedroom.
Parking & Locker Included! Excellent Location - Close To Great Shops, Restaurants And All Amenities In Trendy Leaside. Easy Commute To Downtown. Enjoy Community Living In The City! See Virtual Tour Attached!"
C4886366,Unit 610 - 1801 Bayview Ave,Leaside - Toronto,Condo Apt,"$ 599,000","$631,095",As of 2020-09-10,1+1 Bedrooms,1 Bathrooms,1 Garage,"$ 1,823",$707/month,"water,hydro,heat",16-30,2020-08-26,2020-09-09,"$1,997",2.01%,Bayview & Eglinton,Apartment,E,"Leaside Living! 1 + 1 Bedroom Unit In The Bayview Condos. Spacious, Open-Concept Unit W/Renovated Kitchen Ft. Granite Counters & Breakfast Bar. Curl Up W/A Cup Of Coffee & Feel The Breeze. Amenities Incl. Gym, Library & Party Room. Excellent Location, Steps To The Future Eglinton Crosstown Lrt, The Many Shops & Restaurants Of Bayview, Howard Talbot Park, Ttc, 24 Hr Grocery, Smartcentres Leaside & Schools.
Fridge, Stove, Dw, W&D, Window Coverings, 100% Wool Quality Broadloom, Upgraded Closet Drs, Tv Security, 1 Prkg Spot & Locker. Monthly Fee Incl. All Utilities, Concierge, Gym, Guest Suite, Party & Library Rm, Visitor Prkg, Bike Storage."
C4899402,Unit 505 - 3 Southvale Dr,Leaside - Toronto,Condo Apt,"$ 1,400,000","$1,281,748",As of 2020-09-05,2 Bedrooms,2 Bathrooms,0 Garage,$ -,$689/month,water,New,2020-09-04,2020-09-05,"$2,590",1.68%,Millwood/ Laird,Apartment,N,"One Of A Kind 2 Bedroom Suite In This 7 Storey Boutique Building By Master Builder Shane Baghai In Leaside. Smart Home Devices, Imported Cabinets And Vanities, 10"" Baseboards, 250Kw Generator In Case Of A Power Outage For All Residences And Entire Building. Finest Schools & One Of Toronto's Best Shopping Districts. Building Offers Exclusive Access To All The Luxury Amenities You Need, There Is Even A Grooming Room For Your Pet.
Latest Meile Appliances, Gas Cooktop, S/S Bbq On Terrace., Smart 85' Tv, Liner Electric Fireplace W/Exquisite Wood Trimming, Spacious Shelving, Motorized Window Shades, Solid Core Doors, 10' Baseboards, Imported Italian Cabinets & Vanities."
